type,author,text,likes,published_at,parent_id,is_owner
comment,@letoiledegaia5515,"Coucou, tout d'abord un grand merci pour cette vidéo 😉. Ça fait un petit moment que je bosse le refus d'appâts avec ma louloute grâce à vos vidéos. Cependant je rencontre quelques difficultés. On a commencé vraiment en douceur et par étapes. Elle gère très bien le fait de pas prendre dans la main , ni si je pose au sol. Pareil si je lui fais un exercice en libre dans le jardin, elle très calme et me regarde pour me dire t'as vue je l'ai pas pris😅. En balade pareil si je dépose sans qu'elle me voit un appât elle va pas le prendre. Par contre si elle est en bout de longe , là c'est différent.. plus elle est loin de moi et plus c'est difficile.. je me dis que je devrais le bosser Petit à petit avec un peu plus de distances à chaque fois ? Je sais pas si je suis claire🙄. La dernière fois elle a avalé le plus vite possible ce quelle avait trouvé alors qu'elle était en bout de longe et j'ai rien pu faire. Ça m'a ennuyé parce que j'aurai aimé savoir ce qu'elle mangeait. Mais si j'essaie d'intervenir c'est encore pire. Elle a trop peur que je lui prenne. Mais pour ça sécurité j'aimerais vraiment qu'on y arrive ensemble sans la frustrer. Alors est ce que j'ai passé un étape trop vite, est ce que je dois le bosser différemment ? Voilou désolé pour le pavé 🙄",6,2024-02-26T22:14:45Z,,False
reply,@Danseavectonchien,Juliette va prendre le temps de vous répondre ;-),3,2024-03-04T10:04:12Z,UgzK6gV1l-3f45l1Q5F4AaABAg,True
reply,@Juliette-Bdn,"Coucou, alors en effet le tout est d'ajouter cette difficulté de la même façon que les autres critères ! Quand tu dis qu'elle réussit l'exercice quand tu poses au sol sans qu'elle ne s'en aperçoive,  mais pas quand elle est loin et que c'est inattendu, il faut profiter de savoir où est l'appât pour lui laisser la possibilité de s'éloigner (tout en ne pouvant pas atteindre l'appât) pour la laisser prendre une décision et récompenser. ET pareil, travailler lors de tes séances en la laissant prendre de la distance et se rapprocher de l'appât, sans forcément que ce soit graduel, tant qu'elle n'atteint pas l'appât.
Pour le fait qu'elle se dépêche d'avaler, c'est une forme de protection de ressources (mais vu la sensibilité de ta louloute ce n'est pas surprenant), travailler le troc avec de la fouille, travailler à fond un signal pour lâcher immédiatement...sans JAMAIS aller vers elle (sauf cas d'urgence ++), pour la fouille par exemple tu peux lâcher des récompenses à tes pieds puis aller chercher l'appât là où elle était au départ, te pemrettra de reconstruire la confiance sur ce plan là",3,2024-03-04T12:14:29Z,UgzK6gV1l-3f45l1Q5F4AaABAg,False
reply,@letoiledegaia5515,@@Juliette-Bdn merci Juliette,2,2024-03-04T12:21:14Z,UgzK6gV1l-3f45l1Q5F4AaABAg,False
comment,@Noxado,"Salut ! 
J'ai souvent un problème avec ce genre d'exercice : mon chien n'est pas très gourmant et une gamelle de friandise ou de croquette n'est pas assez attirante pour lui afin de rendre l'exercice intéressant. Est ce que tu aurais d'autres idées pour remplacer la gamelle ? (en tout cas merci beaucoup pour tes video, c'est du contenu super quali et ça m'aide beaucoup)",4,2024-02-25T19:16:51Z,,False
reply,@Danseavectonchien,Si votre chien ne mange pas tout ce qu'il trouve rien ne vous force à travailler cela avec de la nourriture ;-) vous pouvez le faire avec des jouets par exemple à la place ou avec quelque chose q'il adore plus que tout,1,2024-03-04T10:05:28Z,UgwSyWiD7duKah91LWF4AaABAg,True
comment,@ceceduvar,"Encore une super vidéo, merci 😊",3,2024-02-25T08:54:35Z,,False
reply,@Danseavectonchien,Merci à toi 😊,1,2024-03-04T10:05:35Z,UgxGKE7WJb5tSeJclZN4AaABAg,True
comment,@emmanuellemartinon892,Alors je pensais qu'il fallait que notre chien apprenne à gérer la frustration mais pas que nous devions la supprimer. Ou bien je n'ai pas compris. Sinon je suis nouvelle et heureuse de vous avoir découvert car je vais pouvoir m'améliorer dans ma relation avec ma chienne.,3,2024-02-24T20:37:00Z,,False
reply,@Danseavectonchien,L'apprentissage sans frustration ne veut pas dire que vous n'apprenez pas le chien à ne pas gérer la frustration ;-) au contraire ca va de paire !,1,2024-03-04T10:06:39Z,UgyNbwJtdvmRQcwrwPF4AaABAg,True
reply,@Juliette-Bdn,"En créant un contexte où le chien découvre qu'il n'est pas frustrant de patienter ou de se détourner de quelque chose qu'il souhaite, on lui apprend à gérer sa frustration et qu'il soit ainsi dans un contexte serein si il se retrouve dans une situation similaire. En le mettant en état de frustration, il n'apprendra qu'à ne pas se servir pour éviter de ressentir encore + de frustration par le retrait de cet appât. Mais à la 1 ère ouverture, il n'aura qu'à se jeter dessus, voir protéger sa ressource...c'est pour cela que beaucoup de chiens apprennent à se ruer sur tout ce qu'ils trouvent plutôt qu'à être sereins",1,2024-03-04T12:20:53Z,UgyNbwJtdvmRQcwrwPF4AaABAg,False
comment,@bubbletea187,"Super conseils merci 😊 !!
Rien à voir mais as tu des conseils concernant la vaccination ? Je me pose énormément de questions car je trouve qu'on survaccine beaucoup trop nos loulous ! Surtout quand on connaît les intérêts pecuniers des cabinet vétérinaires.. 🫣",3,2024-02-23T18:53:09Z,,False
reply,@Danseavectonchien,Merci. la vaccination n'est pas domaine de compétence désolée.,1,2024-03-04T09:57:57Z,UgyFHdYaz7y4geo2c_J4AaABAg,True
reply,@bubbletea187,@@Danseavectonchien C'est dingue ce tabou sur les vaccins... Personne n'ose en parler et donner son avis 😞,1,2024-03-04T10:03:19Z,UgyFHdYaz7y4geo2c_J4AaABAg,False
comment,@SylvieJean-l1y,"Merci ,merci et merci ,maintenant je comprends pourquoi ma chienne mange tout ce qu’elle trouve lors de nos balades et à la maison.je suis tous vos vidéos et je les met en pratique.Mais ma chienne continuait à manger à une vitesse éclair tous ce qui se trouve parterre.là j’ai enfin la solution c’est super.😀 merci de nous donner de si bons conseils.",4,2024-02-23T01:13:40Z,,False
reply,@Danseavectonchien,Avec grand plaisir !,1,2024-03-04T09:57:16Z,UgzdtLEbrvyBczLHLXd4AaABAg,True
comment,@dominiquegoetzmann7144,"Effectivement, c'est compliqué de se balader avec ma fifille qui renifle sans cesse. Un ventre sur pattes. 
Je vais essayer de m'être en route ces recommandations. Merci beaucoup",4,2024-02-22T12:37:14Z,,False
reply,@Danseavectonchien,Merci. Il ne faut cependant pas empecher votre chienne de renifler car c'est une activité très enrichissante pour elle !,1,2024-03-04T09:56:48Z,UgwQmnYuI_LDoz3X0bB4AaABAg,True
comment,@cheachwood,"Merci pour cette vidéo. Bon j'ai deja fait pas mal de vos exos qui fonctionnent tres bien avec les croquettes de mon loulou de 5 mois. Je me balade dehors et hop oooooh une croquette, il n'y touche pas mais em regarde. Par contre le caca de chat la c'est une autre histoire, je n'existe plus, idem pour les rats crevés (on en trouve quelques uns autour de chez moi et je ne sais pas de quoi ils sont morts et c'est ce qui m'inquiète le plus).
J'ai donc l'idée de faire l'exos dans mon jardin avec des crottes de chats, il va falloir que j'aille à la pêche aux crottes de chats ... j'espère que cela resoudra le pb, par contre les rats...",4,2024-02-22T11:49:28Z,,False
reply,@valalereheureusenfincapass1331,"Oula les rats crever effectivement c’est assez flippant…. Vivant déjà ça craint (le chien a un pote est mort de la maladie de la pisse des rats, en 2 jours chez le veto, alors qu’il était vacciné (pas efficace a 100%) et pas sortie du jardin depuis 3 jours, certainement en ayant bu l’eau de sa gamelle situé sous une tonnelle avec une vigne, avec dés raisin pourrie qu8 attirait les rats), mais mort… je vois pas d’autre raison que la mort au rat. Renseigne toi sur les symptômes causé par l’ingestion de mort au rats par des chiens, au cas où ça arrive, au moins tu pourra réagir au plus vite. Sur les recommandations en cas d’ingestion (car les chiens sont attirer par la mort au rat parait il), la vitamine K est ce qui est administré comme un anti poison (par les véto (selon la notice de la mort au rats, donc c’est ps une info absolue, mais voilà, si jamais quelqu’un lis ça face a son chien qui est en train de présenter tout les symptômes et qu’il a de la vitamine K , bah appeler un veto déjà, foncer le voir",0,2024-02-25T07:16:14Z,Ugyusbe95ZpBNMj81S94AaABAg,False
reply,@valalereheureusenfincapass1331,"Peut être essaye avec autre chose que des croquettes, un truc plus appétant, pour qu’il généralise l’action de refuser à tout et non pas juste à l’odeur de la croquettes.",1,2024-02-25T07:18:14Z,Ugyusbe95ZpBNMj81S94AaABAg,False
reply,@cheachwood,"@@valalereheureusenfincapass1331 Oui j'ai déjà essayé avec des knackis, des bouts de poulets crus, des bouts de fromage, pour lui tout est bon!!! TOUT!!! 
Et malgré cela il mange toujours ses petits friandises que sont les crottes de chats!!!",1,2024-02-29T14:46:17Z,Ugyusbe95ZpBNMj81S94AaABAg,False
reply,@Danseavectonchien,@juliette_danseavectonchien va prendre le temps de vous répondre :-),1,2024-03-04T09:56:00Z,Ugyusbe95ZpBNMj81S94AaABAg,True
reply,@NogAline30,"@@cheachwood pareil ici... Les crottes, ya rien à faire d'autant que nous on ne les sent et on ne les voit pas. Autant pisser dans un violon. Ou alors faut bosser avec des crottes de chat peut être.🤣",1,2024-03-04T09:56:52Z,Ugyusbe95ZpBNMj81S94AaABAg,False
reply,@Juliette-Bdn,"C'est justement pour éviter ce problème que 'l'on va diversifier l'appât et le contexte ! Une fois que le chien est capable de faire pareil avec du jambon/knackis/fromage, qu'il trouve par ""hasard"" et qu'il est récompensé chaleureusement pour ça, ce sera plus simple pour lui de prendre les bonnes décisions. Après si il y a des lieux où vous pouvez mieux anticiper les crottes de chats, vous pouvez être plus attentifs et vous tenir prêt à tendre la laisse pour le laisser prendre une décision sans avoir accès à ce qu'il veut, pour pouvoir récompenser +++",1,2024-03-04T12:17:48Z,Ugyusbe95ZpBNMj81S94AaABAg,False
reply,@cheachwood,"@@Juliette-Bdn Ok compris, j'ai tendance à ne pas le laisser prendre la décision et donc à lui empêcher d'accéder aux crottes quand je le vois foncer dessus (j'ai remis la longe) et du coup je ne le récompense pas puisque je l'empêche d'accéder à ""sa friandise"" et le sanctionne avant avec la longe en la laissant tendu puis en avançant. Du coup c'est moi qui prends la décision sans rien dire et non lui. Je pense avoir compris mon erreur. 
Si je résume, je le laisse allez vers ""sa friandise"", il va tirer sur la longe sans y accéder et finira par abandonner, et là HOP je récompense à fond les ballons!
Merci Juliette",0,2024-03-04T13:12:45Z,Ugyusbe95ZpBNMj81S94AaABAg,False
comment,@NogAline30,"Super vidéo qui permet de bien comprendre nos erreurs et le renforcement involontaire qui en découle. La question qui me vient par contre : le temps de l'apprentissage, quelle attitude adopter en balade pour un chien qui a pris de mauvaise habitude et qui trouve quelque chose à manger avant nous et se jette dessus ?",4,2024-02-22T09:57:47Z,,False
reply,@Danseavectonchien,"Merci ! Il faut mieux faire de la semi liberté avec une longe le temps de l'apprentissage dans les lieux où il peut y avoir des appats, ca évite l'autorenforcement du mauvais comportement. Bon courage !",0,2024-03-04T09:54:31Z,UgyDmP1qeNddL_ScQQZ4AaABAg,True
reply,@NogAline30,@@Danseavectonchien merci pour cette réponse. C'est ce que je fais et il y a une nette amélioration sur la nourriture mais difficile en ce qui concerne les crottes de chat que je ne peux pas voir avant elle malheureusement 🙃,0,2024-03-04T09:58:17Z,UgyDmP1qeNddL_ScQQZ4AaABAg,False
reply,@Juliette-Bdn,"@@NogAline30 en effet c'est un problème récurrent ! Les 2 choses à faire, tendre la laisse et laisser le chien prendre sa décision si nous avons quelques secondes d'anticipation (et si non, tant pis), et en parallèle travailler avec des appâts à très forte valeur (comme de la viande, jusqu'à atteindre la valeur des crottes de chat), bien récompenser quand le chien prend de bonnes décisions en dehors des séances MÊME si c'est un appât qu'il maitrise ;)",1,2024-03-04T12:01:17Z,UgyDmP1qeNddL_ScQQZ4AaABAg,False
reply,@NogAline30,@@Juliette-Bdn merci pour ces réponses. On va continuer à travailler. Ca ne peut qu'aller en s'améliorant en évitant déjà de renforcer le comportement.,0,2024-03-04T12:29:13Z,UgyDmP1qeNddL_ScQQZ4AaABAg,False
comment,@gwenaellegwenaelle8657,"Je n'en suis qu'au début mais je pense en t'écoutant que la protection de ressources vient également d'une certaine frustration, et c'est pas simple au parc de gérer avec les autres chiens qui viennent renforcer ce besoin de protection...",4,2024-02-22T08:23:41Z,,False
reply,@Danseavectonchien,Tout à fait !,2,2024-03-04T09:53:31Z,UgwFkv-QOgsWtgteRml4AaABAg,True
